epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,77.0506,1.3411,3.56963,1.80031,0.13994,0.16959,0.15017,0.09264,1.51166,3.85705,2.08113,0.000997797,0.000332599,0.000997797,0.000332599,0.000997797,0.000332599,0.000997797,0.000332599
2,140.816,1.20653,2.76434,1.69039,0.44286,0.44419,0.39159,0.2855,1.30643,2.87105,1.81523,0.00195824,0.000652747,0.00195824,0.000652747,0.00195824,0.000652747,0.00195824,0.000652747
3,204.401,1.1062,2.20463,1.581,0.51,0.53307,0.49651,0.36186,1.25009,2.40149,1.70811,0.00287908,0.000959695,0.00287908,0.000959695,0.00287908,0.000959695,0.00287908,0.000959695
4,266.998,1.06361,1.95861,1.5239,0.60904,0.59429,0.56855,0.41211,1.21257,2.054,1.65162,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,329.822,1.02988,1.77872,1.49538,0.56586,0.62231,0.59022,0.43317,1.17524,1.83016,1.59693,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,392.457,1.01102,1.66113,1.46876,0.6176,0.62511,0.61235,0.45168,1.16883,1.77059,1.56751,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,455.101,0.99598,1.5671,1.45349,0.64881,0.66029,0.6336,0.47297,1.0994,1.55411,1.47704,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,517.421,0.97559,1.51515,1.43899,0.63706,0.66371,0.64841,0.48007,1.12013,1.48271,1.5092,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,579.964,0.95937,1.4329,1.4243,0.66727,0.66645,0.66343,0.4912,1.12228,1.42463,1.52282,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,642.493,0.95537,1.38928,1.41384,0.69065,0.65519,0.67549,0.50119,1.09748,1.3306,1.46789,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,925.902,0.94624,1.3487,1.41508,0.69454,0.68339,0.68589,0.51755,1.06855,1.25008,1.4305,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,991.816,0.94125,1.31435,1.40243,0.69216,0.67693,0.68123,0.51008,1.0896,1.25888,1.47997,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,1067.08,0.92529,1.27856,1.38946,0.69129,0.71677,0.69878,0.52124,1.08953,1.21986,1.44826,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,1130.01,0.91951,1.24849,1.38017,0.70064,0.69575,0.70223,0.52196,1.0869,1.19455,1.46839,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,1192.21,0.91564,1.20534,1.37353,0.71006,0.70265,0.70629,0.52654,1.06866,1.13258,1.45507,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,1253.96,0.90491,1.18989,1.37133,0.71124,0.72041,0.71394,0.53538,1.0513,1.11068,1.41793,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,1316.79,0.90189,1.17488,1.36362,0.72333,0.69068,0.71206,0.53778,1.04626,1.11551,1.41007,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,1378.53,0.89391,1.15124,1.35742,0.70817,0.72617,0.72854,0.54458,1.03895,1.08373,1.40319,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,1442.53,0.88446,1.12121,1.34868,0.74646,0.71489,0.73397,0.55049,1.04062,1.04151,1.39649,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,1506.29,0.87967,1.11884,1.34595,0.71465,0.69391,0.70745,0.536,1.0569,1.10719,1.41789,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
21,1569.15,0.88536,1.10539,1.34938,0.7526,0.70783,0.73555,0.55259,1.03795,1.02987,1.39951,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
22,1630.77,0.87607,1.0808,1.34076,0.72765,0.73227,0.74191,0.56537,1.01394,0.99851,1.37392,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
23,1692.45,0.87138,1.0611,1.33328,0.73539,0.74134,0.74917,0.56803,1.01718,0.98714,1.37292,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
24,1754.42,0.86922,1.06023,1.33452,0.74566,0.75049,0.75594,0.573,0.99899,0.96314,1.35745,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
25,1820.61,0.86972,1.04398,1.3358,0.73967,0.75735,0.75128,0.57199,1.01433,0.96935,1.36829,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
26,1882.42,0.86,1.03623,1.32552,0.7353,0.75875,0.76051,0.57388,1.01615,0.94824,1.36729,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
27,1944.9,0.84876,1.01617,1.317,0.76196,0.74509,0.76109,0.57883,0.99664,0.94588,1.34894,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
28,2007.09,0.84727,1.00611,1.31648,0.7578,0.75774,0.76503,0.57747,1.01019,0.937,1.35735,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
29,2068.93,0.85305,0.99665,1.31917,0.74164,0.75341,0.76605,0.58308,1.0153,0.94092,1.35934,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
30,2131.2,0.83547,0.98188,1.30909,0.73756,0.77657,0.76283,0.57715,1.01477,0.94165,1.36891,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,2194.42,0.8339,0.98386,1.31112,0.77633,0.75204,0.76591,0.58578,1.00294,0.91562,1.3555,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,2256.3,0.83771,0.97181,1.30483,0.74639,0.76664,0.76451,0.58384,0.99722,0.91052,1.3484,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,2318.8,0.81735,0.94376,1.29389,0.74941,0.76167,0.76735,0.58639,1.00119,0.92285,1.34799,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,2381.12,0.819,0.92969,1.29052,0.75287,0.76254,0.76721,0.58617,0.9912,0.90151,1.33987,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,2442.99,0.81794,0.92629,1.28769,0.76309,0.76182,0.77053,0.59059,0.98416,0.89568,1.3323,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,2505.46,0.81952,0.92038,1.29266,0.76864,0.75854,0.77341,0.5923,0.98616,0.89194,1.33377,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,2567.64,0.80356,0.90726,1.2783,0.76132,0.76337,0.77216,0.59185,0.98271,0.89312,1.32439,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,2629.34,0.81284,0.90473,1.28181,0.77301,0.75678,0.7726,0.58911,0.98491,0.88866,1.32981,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,2691.27,0.80078,0.90066,1.27507,0.76793,0.75381,0.77101,0.59254,0.97726,0.88416,1.32813,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,2753.06,0.79661,0.8897,1.27591,0.75513,0.76855,0.77028,0.59236,0.97291,0.87736,1.31951,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,2816.88,0.84169,0.79473,1.3431,0.75927,0.77216,0.77207,0.59015,0.97639,0.89566,1.31387,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,2874.71,0.81361,0.7376,1.31582,0.76868,0.77845,0.77719,0.59594,0.96612,0.87745,1.31137,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,2932.47,0.80635,0.72094,1.30873,0.7609,0.7877,0.77477,0.5966,0.96131,0.87275,1.30693,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,2990.86,0.79419,0.70576,1.29695,0.76793,0.77934,0.77674,0.59781,0.96306,0.87492,1.30715,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,3048.41,0.78724,0.68729,1.28948,0.76657,0.77476,0.77875,0.59926,0.96083,0.8677,1.30357,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,3111.08,0.7829,0.68106,1.28807,0.78194,0.77535,0.77927,0.60064,0.95927,0.8672,1.30339,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,3168.79,0.77413,0.66812,1.27918,0.76828,0.78079,0.77951,0.60269,0.95507,0.86712,1.2987,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,3226.66,0.77091,0.66404,1.28021,0.75988,0.78918,0.78139,0.60287,0.95624,0.85794,1.30135,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,3284.38,0.7647,0.65691,1.27507,0.76282,0.79135,0.78341,0.60465,0.95337,0.85831,1.29769,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
50,3341.89,0.75861,0.64704,1.27077,0.76602,0.77793,0.78216,0.60441,0.95048,0.85608,1.29513,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
