epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,364.344,1.28767,2.95647,1.7424,0.44707,0.46368,0.39883,0.23202,1.38658,2.65464,1.86635,0.00998039,0.0033268,0.00998039,0.0033268,0.00998039,0.0033268,0.00998039,0.0033268
2,536.024,1.22985,2.18369,1.67299,0.4539,0.60691,0.5183,0.32786,1.41167,2.10725,1.84138,0.0197826,0.0065942,0.0197826,0.0065942,0.0197826,0.0065942,0.0197826,0.0065942
3,650.666,1.30065,2.08262,1.73764,0.34713,0.27802,0.25607,0.12827,1.77975,2.93368,2.35086,0.0293868,0.00979559,0.0293868,0.00979559,0.0293868,0.00979559,0.0293868,0.00979559
4,791.386,1.31741,2.03284,1.75186,0.46919,0.53678,0.4996,0.35698,1.37708,1.80153,1.85243,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,857.584,1.28283,1.91427,1.71634,0.3993,0.59937,0.50259,0.30777,1.5054,1.64411,1.93466,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,923.008,1.23836,1.82268,1.67496,0.60507,0.65207,0.5798,0.41499,1.25686,1.49762,1.6817,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,987.767,1.20646,1.74716,1.64846,0.56862,0.70612,0.6048,0.44331,1.21642,1.3227,1.63566,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1052.52,1.18766,1.68494,1.63149,0.50572,0.66493,0.62924,0.44369,1.21281,1.30844,1.61264,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1117.38,1.15663,1.63529,1.60742,0.59395,0.70166,0.65634,0.45501,1.2514,1.24322,1.67193,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1214.75,1.13968,1.6012,1.58719,0.64447,0.69105,0.6457,0.46854,1.17795,1.22256,1.56726,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1304.49,1.12989,1.57072,1.57838,0.68714,0.69071,0.70013,0.51137,1.13718,1.09801,1.54166,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1386.87,1.11109,1.5328,1.55622,0.60565,0.70256,0.65739,0.49424,1.10637,1.17191,1.4955,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1457.11,1.09172,1.5018,1.54375,0.58995,0.75387,0.65142,0.4932,1.10747,1.15252,1.48624,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1534.3,1.09056,1.47775,1.54172,0.66288,0.7565,0.70105,0.50981,1.12997,1.08572,1.49113,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1605.17,1.07646,1.46785,1.52894,0.6776,0.75864,0.70962,0.5353,1.05955,1.02988,1.42729,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1678.5,1.07061,1.43483,1.51895,0.66499,0.74365,0.71032,0.52547,1.10076,1.01882,1.45734,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1754.05,1.04723,1.40764,1.49976,0.68139,0.73705,0.70535,0.5302,1.04253,1.00984,1.42009,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1822.31,1.04351,1.40084,1.50248,0.68291,0.74699,0.71678,0.53356,1.03026,1.02956,1.38981,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1888.31,1.02992,1.3744,1.4885,0.67403,0.7538,0.71579,0.54378,1.01732,0.99561,1.38619,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1954.54,1.03624,1.33969,1.48388,0.72038,0.72609,0.72046,0.54632,1.01052,0.98513,1.3762,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2020.42,1.03058,1.33918,1.48401,0.7127,0.73825,0.73329,0.55145,1.0209,0.96529,1.38293,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2088.2,1.02751,1.32774,1.47916,0.72003,0.79332,0.74138,0.56457,1.01316,0.95338,1.39459,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2155.83,1.00909,1.2984,1.46771,0.73345,0.80953,0.75894,0.56862,1.0268,0.9159,1.37974,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2223.99,1.0055,1.28169,1.46298,0.7093,0.76086,0.74925,0.56461,1.02024,0.91588,1.38017,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2579.62,1.00749,1.27376,1.4622,0.68968,0.76161,0.73859,0.56151,0.9808,0.92607,1.33324,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2795.95,1.00858,1.27431,1.46357,0.73573,0.79343,0.75864,0.57718,0.97815,0.89884,1.33746,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2918.75,0.99667,1.26803,1.44984,0.73743,0.78185,0.75473,0.58183,0.96915,0.88003,1.3231,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2987.43,0.98769,1.25622,1.45019,0.73809,0.77157,0.76083,0.58395,0.95713,0.86713,1.30257,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3055.68,0.97402,1.23001,1.42939,0.77471,0.78915,0.77908,0.59159,0.95999,0.88365,1.33729,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3123.38,0.97023,1.2131,1.42737,0.7731,0.76688,0.78056,0.58174,0.99993,0.87336,1.36355,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3191.55,0.97194,1.22248,1.43414,0.77464,0.79963,0.78219,0.59641,0.98916,0.84861,1.34922,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3317.98,0.96768,1.2001,1.42507,0.77132,0.80712,0.77982,0.60183,0.9392,0.83541,1.28768,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3422.06,0.96655,1.19385,1.42473,0.77277,0.79449,0.7702,0.59478,0.94556,0.83279,1.30283,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3518.31,0.95835,1.18421,1.42071,0.75989,0.79437,0.78204,0.60093,0.93726,0.80301,1.2926,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3586.13,0.96104,1.17315,1.41354,0.75712,0.81891,0.77886,0.59076,0.95406,0.84969,1.29699,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3653.77,0.9527,1.15596,1.41164,0.75355,0.82974,0.77957,0.59727,0.95594,0.82268,1.32114,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3720.99,0.95593,1.1615,1.41262,0.76165,0.7971,0.77665,0.60247,0.92346,0.81422,1.27348,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3788.79,0.94488,1.15536,1.40685,0.76986,0.80769,0.78614,0.6131,0.9241,0.80155,1.27537,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
