epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,83.5552,1.28643,2.965,1.73833,0.48368,0.29186,0.24154,0.15712,1.4224,3.51677,1.9218,0.00998035,0.00332678,0.00998035,0.00332678,0.00998035,0.00332678,0.00998035,0.00332678
2,146.293,1.22567,2.17665,1.66467,0.48097,0.53528,0.46239,0.27751,1.6171,2.22497,2.05436,0.0197825,0.00659418,0.0197825,0.00659418,0.0197825,0.00659418,0.0197825,0.00659418
3,208.187,1.30763,2.11261,1.7376,0.46836,0.42539,0.43291,0.2783,1.55806,2.20444,2.05177,0.0293867,0.00979558,0.0293867,0.00979558,0.0293867,0.00979558,0.0293867,0.00979558
4,270.164,1.32892,2.05395,1.75913,0.46948,0.40321,0.34856,0.20298,1.90085,2.94068,2.59431,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,332.272,1.29046,1.93859,1.71576,0.5187,0.54225,0.52289,0.3546,1.38829,1.7005,1.79347,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,394.064,1.2308,1.82166,1.66682,0.5809,0.66131,0.59989,0.40038,1.34064,1.46408,1.76436,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,456.069,1.19982,1.76348,1.6509,0.46896,0.63788,0.57791,0.41671,1.24848,1.59531,1.66208,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,517.876,1.17458,1.69696,1.62441,0.60559,0.69604,0.63177,0.47326,1.15394,1.23215,1.55457,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,579.894,1.15305,1.65347,1.60135,0.56272,0.68313,0.65123,0.47553,1.16312,1.20193,1.54411,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,641.89,1.14003,1.61677,1.59156,0.5769,0.7186,0.66188,0.48527,1.15778,1.23139,1.55433,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,703.84,1.10808,1.55762,1.56297,0.6082,0.76603,0.67638,0.48531,1.15785,1.24144,1.55624,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,765.504,1.11145,1.52838,1.5623,0.64857,0.7306,0.67499,0.49527,1.14783,1.10763,1.55251,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,827.421,1.09493,1.51371,1.54743,0.65147,0.74181,0.6784,0.51166,1.06785,1.10354,1.43923,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,889.196,1.07567,1.47967,1.5327,0.68219,0.7404,0.69732,0.52905,1.05389,1.03096,1.44762,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,950.855,1.06761,1.45377,1.52726,0.63377,0.76229,0.70983,0.52358,1.06472,1.00886,1.42471,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1012.7,1.06819,1.43865,1.52259,0.67888,0.7711,0.71029,0.534,1.03445,1.03228,1.40724,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1074.97,1.04963,1.39958,1.50159,0.71537,0.75201,0.7309,0.54381,1.03125,0.9885,1.39082,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1137.21,1.03938,1.3856,1.50073,0.72136,0.7864,0.73385,0.5433,1.04732,0.95916,1.41371,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1199.29,1.0329,1.37768,1.48928,0.64564,0.75842,0.72204,0.54403,1.0208,0.975,1.39994,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1261.22,1.0333,1.3607,1.48663,0.7104,0.8081,0.7476,0.56205,1.01327,0.94411,1.37855,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1322.84,1.03296,1.33991,1.4888,0.76244,0.76841,0.76161,0.5657,0.99651,0.95686,1.36535,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1384.25,1.01609,1.31855,1.47143,0.71776,0.75194,0.73118,0.54604,1.01521,0.96085,1.38173,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1445.92,1.00542,1.2963,1.46478,0.76385,0.78385,0.75824,0.57727,0.98318,0.90444,1.32837,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1507.66,1.00338,1.2847,1.46269,0.75823,0.78546,0.75529,0.58002,0.96939,0.89177,1.32987,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1569.37,0.99891,1.27769,1.45851,0.73556,0.78688,0.74396,0.56245,0.98634,0.97452,1.33578,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1631.09,0.9923,1.26973,1.45496,0.75905,0.81736,0.78143,0.57349,0.97537,0.85456,1.34757,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1693.29,0.98078,1.24005,1.44729,0.77161,0.79454,0.78741,0.5904,0.97246,0.88647,1.34019,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1754.86,0.97154,1.24002,1.44223,0.74281,0.77681,0.75383,0.58453,0.93621,0.88386,1.30253,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
