epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,62.289,1.38545,3.61224,1.83116,0.14364,0.19508,0.17933,0.13466,1.15951,3.74496,1.59376,0.000997481,0.000332494,0.000997481,0.000332494,0.000997481,0.000332494,0.000997481,0.000332494
2,113.171,1.25069,2.87463,1.72034,0.4971,0.57677,0.48631,0.3364,1.12628,2.62346,1.56597,0.00197771,0.000659235,0.00197771,0.000659235,0.00197771,0.000659235,0.00197771,0.000659235
3,164.139,1.14622,2.29229,1.61026,0.63234,0.69576,0.66457,0.49809,0.99296,1.96286,1.391,0.00293813,0.000979377,0.00293813,0.000979377,0.00293813,0.000979377,0.00293813,0.000979377
4,214.938,1.09541,2.01522,1.55448,0.53946,0.57615,0.59705,0.40887,1.20077,2.45058,1.62577,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,265.538,1.0531,1.84025,1.5097,0.67585,0.74098,0.70427,0.53567,0.99021,1.59175,1.36583,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,316.102,1.03826,1.72446,1.49521,0.65934,0.78701,0.72793,0.55329,0.96766,1.38798,1.29634,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,366.62,1.01503,1.62517,1.47119,0.69731,0.78679,0.71358,0.54713,0.93764,1.3131,1.29563,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,417.132,0.99454,1.53525,1.45645,0.68231,0.76287,0.73116,0.5687,0.91499,1.23326,1.26181,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,467.599,0.99442,1.50324,1.44683,0.72524,0.77307,0.74318,0.57497,0.9442,1.15303,1.29319,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,517.874,0.97506,1.42734,1.43155,0.75216,0.78151,0.75442,0.56969,0.95786,1.14227,1.30316,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,568.324,0.97225,1.38244,1.42092,0.72672,0.79067,0.75064,0.56876,0.98808,1.11115,1.32938,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,618.687,0.96137,1.35011,1.42133,0.77047,0.7552,0.76693,0.59091,0.93712,1.01505,1.29698,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,669.093,0.96425,1.32781,1.41575,0.73846,0.80826,0.76691,0.58332,0.92669,1.01871,1.26892,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
