epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.1436,2.2652,5.38101,3.93172,2.03961,0,0.0159,0.15564,0.03371,0.01169,0.01516,0.15184,0.03337,0.01246,1.87779,4.06745,4.05,1.78435,0,0.00068175,0.00022725,0.00068175,0.00022725,0.00068175,0.00022725,0.00068175,0.00022725
2,60.5684,2.1078,4.70133,3.90209,1.939,0,0.02564,0.17571,0.02734,0.01058,0.0152,0.14979,0.01834,0.0078,1.70595,3.54708,4.03313,1.62819,0,0.001377,0.000459,0.001377,0.000459,0.001377,0.000459,0.001377,0.000459
3,69.8834,1.96623,4.41564,3.85949,1.82947,0,0.03386,0.24198,0.04656,0.02477,0.02747,0.21082,0.04077,0.01876,1.52627,3.3857,3.95344,1.44264,0,0.00205821,0.000686071,0.00205821,0.000686071,0.00205821,0.000686071,0.00205821,0.000686071
4,78.948,1.85273,4.20056,3.80089,1.74335,0,0.03088,0.27388,0.04768,0.02629,0.02486,0.23264,0.0426,0.02258,1.46485,3.34861,3.8771,1.3723,0,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003
5,92.8372,1.83491,4.18107,3.74582,1.72487,0,0.02924,0.2741,0.05476,0.03178,0.02563,0.25326,0.04991,0.02786,1.4518,3.08129,3.75363,1.35589,0,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004
6,102.71,1.79767,4.07102,3.67536,1.67086,0,0.03749,0.41712,0.08276,0.04547,0.03413,0.37655,0.08499,0.04147,1.47256,3.02723,3.48069,1.3851,0,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
7,112.401,1.77116,4.02531,3.55401,1.68437,0,0.11482,0.27519,0.10342,0.05597,0.1637,0.09832,0.10377,0.0537,1.50261,2.94376,3.21328,1.41854,0,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
8,128.789,1.73236,3.98494,3.4351,1.65567,0,0.22084,0.15007,0.12337,0.06749,0.21754,0.14818,0.12519,0.06279,1.54468,2.92971,3.02613,1.46001,0,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006
9,137.89,1.78058,3.96836,3.34895,1.67732,0,0.20982,0.19368,0.13745,0.07441,0.22112,0.19271,0.14026,0.0679,1.55822,2.87907,2.85857,1.47147,0,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
10,154.576,1.79023,3.92887,3.25041,1.69204,0,0.27049,0.18129,0.15563,0.08216,0.22193,0.2311,0.15578,0.074,1.54935,2.86026,2.71072,1.46945,0,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008
